Pergunta,BLEU RAG Gemma Distiluse,ROUGE RAG Gemma Distiluse,METEOR RAG Gemma Distiluse,BLEU RAG Mistral Distiluse,ROUGE RAG Mistral Distiluse,METEOR RAG Mistral Distiluse,BLEU RAG Llama Distiluse,ROUGE RAG Llama Distiluse,METEOR RAG Llama Distiluse,BLEU RAG Gemma MiniLM,ROUGE RAG Gemma MiniLM,METEOR RAG Gemma MiniLM,BLEU RAG Mistral MiniLM,ROUGE RAG Mistral MiniLM,METEOR RAG Mistral MiniLM,BLEU FT Llama,ROUGE FT Llama,METEOR FT Llama,BLEU FT Gemma,ROUGE FT Gemma,METEOR FT Gemma,BLEU FT Mistral,ROUGE FT Mistral,METEOR FT Mistral,Answer relevancy RAG Gemma Distiluse,Faithfulness RAG Gemma Distiluse,Contextual precision RAG Gemma Distiluse,Contextual recall RAG Gemma Distiluse,Contextual relevancy RAG Gemma Distiluse,Answer relevancy RAG Llama Distiluse,Faithfulness RAG Llama Distiluse,Contextual precision RAG Llama Distiluse,Contextual recall RAG Llama Distiluse,Contextual relevancy RAG Llama Distiluse,Answer relevancy RAG Mistral Distiluse,Faithfulness RAG Mistral Distiluse,Contextual precision RAG Mistral Distiluse,Contextual recall RAG Mistral Distiluse,Contextual relevancy RAG Mistral Distiluse,BLEU RAG Llama MiniLM,ROUGE RAG Llama MiniLM,METEOR RAG Llama MiniLM,Answer relevancy RAG Mistral MiniLM,Faithfulness RAG Mistral MiniLM,Contextual precision RAG Mistral MiniLM,Contextual recall RAG Mistral MiniLM,Contextual relevancy RAG Mistral MiniLM,Answer relevancy RAG Llama MiniLM,Faithfulness RAG Llama MiniLM,Contextual precision RAG Llama MiniLM,Contextual recall RAG Llama MiniLM,Contextual relevancy RAG Llama MiniLM,Answer relevancy RAG Gemma MiniLM,Faithfulness RAG Gemma MiniLM,Contextual precision RAG Gemma MiniLM,Contextual recall RAG Gemma MiniLM,Contextual relevancy RAG Gemma MiniLM
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Como é definida a data da visita?,1.0,1.0,0.9999892832647462,1.0,1.0,0.9999892832647462,0.1494023969640596,0.2962962962962963,0.58310965797185,1.0,1.0,0.9999892832647462,0.9257518071011758,0.9705882352941176,0.9721315192743764,0.2297843986249618,0.4444444444444445,0.4741784507070424,0.1204197999575967,0.2758620689655172,0.317948717948718,1.0,1.0,0.9999892832647462,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,0.25,0.5,0.75,1.0,1.0,0.5,0.1709744696804367,0.3333333333333333,0.6167044530813393,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.3333333333333333
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Os avaliadores podem fazer recomendações a instituição avaliada?,0.3533694875970723,0.5846153846153848,0.6952704904676552,0.8953132021812428,1.0,0.9612923076923076,0.0509436810715224,0.1166666666666666,0.2480538922155689,0.3075744676426744,0.490566037735849,0.5261970172684458,0.8953132021812428,1.0,0.9612923076923076,0.3096654005488453,0.4912280701754385,0.4852519275596198,0.189021858132912,0.3478260869565217,0.3468406593406593,1.0,1.0,0.9999715521165226,1.0,1.0,1.0,1.0,0.1428571428571428,1.0,0.5,1.0,0.0,0.25,0.5,0.6666666666666666,0.5,0.5,0.5,0.1111123932707596,0.2277227722772277,0.5311295843520782,0.5,1.0,1.0,1.0,0.5,0.8,0.6,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) O que é analisado durante a visita in loco?,0.2464497227954476,0.6008230452674898,0.4026084302657703,0.488392324932599,0.5829145728643216,0.6309944559263828,0.0,0.0315581854043392,0.0851789844978082,0.2649559570150065,0.5816733067729084,0.4125937611353938,0.4951261896011757,0.5899280575539568,0.6460806718017176,0.0024351360301177,0.1612903225806451,0.1081598281081262,0.0282432569074766,0.3203883495145631,0.1427313883299799,0.3791274942504027,0.6561264822134387,0.4717741104733922,1.0,1.0,1.0,1.0,0.9,0.9166666666666666,1.0,1.0,0.3333333333333333,0.6,1.0,0.75,1.0,1.0,0.4285714285714285,0.0,0.0254237288135593,0.0741758241758241,1.0,0.375,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.6,1.0,1.0,1.0,1.0,1.0
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) E a visita às instalações?,0.0,0.1542699724517906,0.1567796610169491,0.2895289458690123,0.4269662921348314,0.6379097699294574,0.2016651991954238,0.2340425531914893,0.2626440479130909,0.1083924725616772,0.2080378250591016,0.2976694451294697,0.2902088510637773,0.4191829484902309,0.4505928003153802,0.0,0.1292775665399239,0.0604567845947156,0.0030947588427871,0.1019607843137254,0.0671140939597315,0.1901803728371359,0.2945368171021377,0.2697706426297533,1.0,1.0,1.0,1.0,0.9090909090909092,0.875,1.0,1.0,1.0,0.0,0.5,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0149706553294669,0.0638888888888889,0.1339124140427072,1.0,0.4,1.0,0.5,0.0,1.0,0.4444444444444444,1.0,1.0,0.0,1.0,0.125,1.0,0.5,0.6666666666666666
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) E as reuniões com a comunidade do curso?,0.2080481436269274,0.4296875,0.4348631161474394,0.2811025257382528,0.4576719576719576,0.478209824676367,0.0,0.0139860139860139,0.0615595075239398,0.1752347625908704,0.2761692650334075,0.2784202247446068,0.1605562180317767,0.354679802955665,0.3635299529169009,0.0222165535547984,0.1605351170568562,0.1335663061512995,0.0,0.091254752851711,0.05,0.0,0.0778210116731517,0.0453893932154801,0.9523809523809524,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.5,0.8041666666666667,1.0,0.4166666666666667,0.0,0.0086393088552915,0.0343642611683848,0.6842105263157895,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4285714285714285,1.0,1.0,0.0
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) É só isso?,0.0,0.1122112211221122,0.0563674321503131,0.1710738053726564,0.2976878612716763,0.402915257389995,0.0,0.050179211469534,0.0983667409057164,0.0,0.1114754098360655,0.0563439065108514,0.2034905813154607,0.2398286937901498,0.3478107896794369,0.0,0.142433234421365,0.0970879907131646,0.0,0.0638297872340425,0.0289047499791301,0.1852865419636488,0.3307086614173228,0.2230767843538164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.5,0.6666666666666666,0.0,0.0500834724540901,0.0734753857457751,0.7142857142857143,0.3,1.0,1.0,0.6666666666666666,0.7,0.8571428571428571,0.8333333333333333,1.0,0.0,0.8,1.0,1.0,1.0,0.0
Sobre Dupla Diplomação e Mudança de Curso - Perguntas Frequentes Porque não tem vaga para todos os cursos no processo de mudança de curso?,0.5540824387684015,0.7627118644067797,0.7455788808568068,0.5806030754582867,0.7479674796747968,0.7393633051149284,0.1709535652150695,0.4042553191489361,0.4985365174610501,0.1377649979351711,0.321608040201005,0.4459111621273784,0.5806030754582867,0.7479674796747968,0.7393633051149284,0.0,0.1818181818181818,0.2100300213982306,0.3366991140961519,0.5686274509803921,0.5145698004447565,0.0,0.2115384615384615,0.1404494382022471,1.0,1.0,1.0,1.0,0.6,1.0,0.6666666666666666,1.0,0.5,0.0,0.5,0.6666666666666666,1.0,1.0,0.4285714285714285,0.1424677891709648,0.3119266055045871,0.4713250517598344,0.75,0.6666666666666666,1.0,1.0,0.0,1.0,0.6,1.0,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,1.0,0.0
"Sobre Dupla Diplomação e Mudança de Curso - Perguntas Frequentes E quanto à dupla diplomação, também é só para alguns cursos?",0.0,0.1515151515151515,0.1410508737400847,0.0,0.1702127659574468,0.1895125996222416,0.0,0.1492537313432836,0.23697770625574,0.2808929499201882,0.379746835443038,0.4911605740301924,0.0,0.2093023255813953,0.1589761248852158,0.0,0.1428571428571428,0.1276102088167053,0.0948773207091217,0.2653061224489795,0.1593449790032789,1.0,1.0,0.9999937112455508,1.0,0.0,1.0,1.0,0.8,1.0,0.5,1.0,0.5,0.6666666666666666,0.5,1.0,0.5,0.5,0.6,0.0,0.1592920353982301,0.2557529366454844,0.5,0.5,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,1.0,0.5,0.75,0.5,1.0,1.0,0.5
Sobre Dupla Diplomação e Mudança de Curso - Perguntas Frequentes Quando será o ingresso dos selecionados?,0.7044371001527127,0.8727272727272728,0.9211981566820276,0.4462029368474995,0.6666666666666666,0.8021215660104548,0.0,0.0638297872340425,0.0555555555555555,0.6820453229133056,0.8727272727272728,0.91697247706422,0.3961580557600541,0.6181818181818183,0.6722475900558093,0.0,0.2758620689655172,0.1583710407239819,0.1557391318016684,0.3661971830985915,0.2553191489361702,0.959096559793538,1.0,0.9952069295332668,1.0,1.0,1.0,1.0,0.6,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.5,0.6,0.0,0.0465116279069767,0.0579710144927536,1.0,1.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0
Sobre Dupla Diplomação e Mudança de Curso - Perguntas Frequentes A dupla diplomação só se aplica para outra as habilitações do mesmo curso?,0.5397273242373383,0.7297297297297298,0.9341121495327104,0.5004658164489277,0.7297297297297298,0.93826192964124,0.132826251865827,0.2541436464088397,0.5945610094154758,0.1562489813281623,0.3999999999999999,0.4273504273504274,0.5112346843795859,0.7397260273972603,0.9412124388539485,0.4815577949426298,0.72,0.6454388170894274,1.0,1.0,0.9999814814814816,1.0,1.0,0.9999814814814816,1.0,0.5,1.0,1.0,0.8,0.8,0.75,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6,0.1709179885902217,0.326241134751773,0.6738778432222008,0.6666666666666666,0.5,1.0,1.0,0.0,0.8,0.8,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Sobre Dupla Diplomação e Mudança de Curso - Perguntas Frequentes Preciso ter certificado de habilidade específica para solicitar dupla diplomação em Arquitetura ou Design Gráfico?,0.0,0.2127659574468084,0.1974022633744856,0.4233948896442613,0.4848484848484848,0.8943349419539895,0.2203184007504286,0.3181818181818181,0.7352941176470588,0.0,0.25,0.2220332577475434,0.4123359516318769,0.7272727272727274,0.8557175267294218,0.0981216325858455,0.2592592592592592,0.4036199095022624,0.0,0.24,0.3251591435185185,1.0,1.0,0.9999460101500918,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,0.6666666666666666,0.5,1.0,0.6,0.0,0.0363636363636363,0.0528169014084507,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.5
"Sobre Dupla Diplomação e Mudança de Curso - Perguntas Frequentes Quanto à mudança de turno, vai ter edital para essa opção?",0.2249103700342477,0.4155844155844155,0.4610571663019693,0.4046192074356415,0.619047619047619,0.5731441048034934,0.547831664433674,0.8235294117647058,0.8629871192463239,0.1996446003902612,0.4571428571428572,0.3559372244268077,0.5827217226095714,0.7708333333333334,0.7550318492251115,0.193505046714135,0.375,0.3362573099415204,0.7442945947643222,0.8433734939759038,0.770870076425632,0.9464594399631752,0.9777777777777776,0.9786831838474844,1.0,1.0,1.0,1.0,0.25,0.8,0.6666666666666666,1.0,0.5,0.0,0.5,0.5,1.0,0.3333333333333333,0.6,0.3547958560032388,0.6481481481481481,0.7025435189138607,0.75,0.75,1.0,1.0,0.0,0.75,0.3333333333333333,1.0,1.0,0.25,0.5,0.5,1.0,1.0,0.0
Sobre Dupla Diplomação e Mudança de Curso - Perguntas Frequentes E o Edital para segunda graduação e para transferência?,0.2647100889648661,0.4027777777777778,0.5553698752228164,0.5076348824823674,0.5656565656565656,0.6165377176015474,0.1164526549653267,0.2021660649819494,0.399963924963925,0.0,0.1919999999999999,0.1904608752567314,0.5076348824823674,0.5656565656565656,0.6165377176015474,0.0,0.2795698924731182,0.2079331732693077,0.1495827869378985,0.4931506849315068,0.2882391300712864,0.9525618205602056,0.9814814814814816,0.9811041643407392,1.0,0.8,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.1300743184803248,0.2456140350877192,0.3740886766480295,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.8571428571428571,1.0,1.0,0.4,0.8,0.6666666666666666,1.0,1.0,0.0
Sobre Estágio - Perguntas Gerais Quais são as modalidades de estágio?,0.0,0.297029702970297,0.1204215116279069,0.3144669828911863,0.6716417910447762,0.453429602153535,0.3033574003753785,0.5461538461538461,0.6663552175219716,0.0,0.297029702970297,0.1204215116279069,0.919003688100444,0.9585798816568049,0.9153179343119018,0.0201611366826636,0.3148148148148148,0.1732693844924061,0.7054782466014528,0.8074534161490684,0.7512244304272352,1.0,1.0,0.9999988148148148,1.0,1.0,1.0,1.0,0.4285714285714285,1.0,0.8571428571428571,1.0,0.3333333333333333,0.5714285714285714,0.5,0.5,1.0,1.0,0.5714285714285714,0.0655205859129003,0.1863560732113144,0.3398355816146624,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,1.0
"Sobre Estágio - Perguntas Gerais As atividades de extensão, de monitorias e de iniciação científica na educação superior desenvolvidas pelo estudante podem ser equiparadas ao estágio?",1.0,1.0,0.999958905235473,0.8787419089273848,0.96,0.9561624146604384,0.0470620714485922,0.1454545454545454,0.3957282110091743,0.3549512869805423,0.5952380952380952,0.8082515231797388,0.3278475440014289,0.5050505050505051,0.7798076525050708,0.1172917637981487,0.2727272727272727,0.3880635245901639,0.4183741456477058,0.619718309859155,0.7838056680161943,0.0,0.2631578947368421,0.091324200913242,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.4,0.5,0.6666666666666666,0.8333333333333333,1.0,0.75,0.0452153841747431,0.1544401544401544,0.3723824384981409,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.6666666666666666,1.0,1.0,0.0
Sobre Estágio - Perguntas Gerais Pode ser concedido estágio a estudantes estrangeiros?,0.4391658064250741,0.64,0.5938991848244559,0.8697459053701976,0.9484536082474228,0.9367336056579876,0.7820922796878211,0.8867924528301887,0.9598828125,0.4583600466370232,0.6756756756756757,0.5760472610096669,0.6635843022476912,0.7472527472527473,0.8136082474226806,0.0,0.1794871794871795,0.1660541887262535,0.4037639430935812,0.4869565217391304,0.5998875432525952,1.0,1.0,0.999995750070124,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.4890691659342377,0.676923076923077,0.7863748447465133,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,0.5
Sobre Estágio - Perguntas Gerais O estágio é uma relação de emprego?,0.3472531941640616,0.5172413793103449,0.4574482854366237,0.9027352381005914,1.0,0.966508125247721,0.0,0.2647058823529412,0.2215409224206878,0.0,0.3571428571428571,0.1530612244897959,0.9027352381005914,1.0,0.966508125247721,0.4177866849157374,0.6071428571428571,0.4777848639455782,0.4137442387102241,0.5423728813559322,0.4082109227871939,1.0,1.0,0.9999814814814816,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.0,0.2727272727272727,0.2222578833346706,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0
Sobre Estágio - Perguntas Gerais Quais requisitos devem ser observados na concessão do estágio?,0.3098464242243956,0.5714285714285715,0.6403182255454982,0.3305449026998289,0.5398773006134969,0.6813201889733719,0.0,0.0325732899022801,0.0753424657534246,0.1509180123989486,0.3703703703703703,0.5609543819190751,0.3972443231326517,0.6712328767123288,0.8310721593282498,0.2346696712649912,0.4776119402985075,0.4674384373632494,0.4412143711493995,0.6176470588235294,0.7674952198852772,0.2553420340619228,0.4418604651162791,0.6230672929796591,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.5555555555555556,1.0,0.3333333333333333,0.5,0.5,0.6666666666666666,1.0,0.6,0.75,0.0,0.0418848167539267,0.085995085995086,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.25,0.6,1.0,1.0,1.0,0.5
